SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX,SEASON
22022,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Isolation,Offensive,0.803,66,0.23,1.071,0.502,0.191,0.097,0.182,0.037,0.53,0.509,434,465,163,325,162,2022-23
22022,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.315,55,0.145,0.814,0.359,0.091,0.064,0.086,0.027,0.377,0.393,220,179,69,192,123,2022-23
22022,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Isolation,Offensive,0.539,67,0.099,0.912,0.427,0.099,0.094,0.099,0.029,0.421,0.469,171,156,61,143,82,2022-23
22022,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Isolation,Offensive,0.484,60,0.073,0.886,0.379,0.076,0.089,0.076,0.0,0.392,0.447,79,70,25,66,41,2022-23
22022,201569,Eric Gordon,1610612745,HOU,Houston Rockets,Isolation,Offensive,0.727,47,0.079,1.021,0.436,0.104,0.104,0.083,0.021,0.438,0.5,48,49,17,39,22,2022-23
22022,200768,Kyle Lowry,1610612748,MIA,Miami Heat,Isolation,Offensive,0.74,55,0.042,1.037,0.455,0.185,0.111,0.185,0.111,0.444,0.5,27,28,10,22,12,2022-23
22022,201569,Eric Gordon,1610612746,LAC,LA Clippers,Isolation,Offensive,0.694,22,0.071,1.0,0.364,0.267,0.0,0.267,0.0,0.533,0.364,15,15,4,11,7,2022-23
22022,203484,Kentavious Caldwell-Pope,1610612743,DEN,Denver Nuggets,Isolation,Offensive,0.067,77,0.016,0.583,0.333,0.083,0.167,0.083,0.0,0.25,0.389,12,7,3,9,6,2022-23
22022,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,PRBallHandler,Offensive,0.831,60,0.329,1.014,0.463,0.115,0.079,0.115,0.028,0.469,0.512,356,361,137,296,159,2022-23
22022,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,PRBallHandler,Offensive,0.769,67,0.168,0.983,0.47,0.114,0.159,0.107,0.017,0.443,0.537,289,284,101,215,114,2022-23
